
[Name]
Plane 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
5.944842e-04, 9.978589e-04, 0.000000e+00, 1.603422e+01, 1.000000e-01
1.083986e-03, 9.978589e-04, 0.000000e+00, 1.554287e+01, 1.000000e-01
1.573488e-03, 7.184584e-03, 0.000000e+00, 1.991259e+01, 1.682806e-02
1.573488e-03, 7.384156e-03, 0.000000e+00, 1.991636e+01, 1.591919e-02
1.573488e-03, 6.985013e-03, 0.000000e+00, 1.990835e+01, 1.774057e-02
1.573488e-03, 6.785441e-03, 0.000000e+00, 1.990377e+01, 1.863880e-02
1.573488e-03, 6.585869e-03, 0.000000e+00, 1.989891e+01, 1.951512e-02
1.573488e-03, 6.386297e-03, 0.000000e+00, 1.989374e+01, 2.036338e-02
1.573488e-03, 6.186726e-03, 0.000000e+00, 1.988813e+01, 2.117703e-02
1.573488e-03, 5.987154e-03, 0.000000e+00, 1.988194e+01, 2.195659e-02
1.573488e-03, 5.787582e-03, 0.000000e+00, 1.987495e+01, 2.270654e-02
1.573488e-03, 5.588010e-03, 0.000000e+00, 1.986719e+01, 2.342290e-02
1.573488e-03, 5.388438e-03, 0.000000e+00, 1.985833e+01, 2.410351e-02
1.573488e-03, 5.188867e-03, 0.000000e+00, 1.984783e+01, 2.476293e-02
1.573488e-03, 4.989295e-03, 0.000000e+00, 1.983552e+01, 2.540871e-02
1.573488e-03, 4.789723e-03, 0.000000e+00, 1.982146e+01, 2.604417e-02
1.573488e-03, 4.590151e-03, 0.000000e+00, 1.980559e+01, 2.667652e-02
1.573488e-03, 4.390579e-03, 0.000000e+00, 1.978745e+01, 2.732831e-02
1.573488e-03, 4.191007e-03, 0.000000e+00, 1.976660e+01, 2.803436e-02
1.573488e-03, 3.991436e-03, 0.000000e+00, 1.974235e+01, 2.882140e-02
1.573488e-03, 3.791864e-03, 0.000000e+00, 1.971360e+01, 2.972177e-02
1.573488e-03, 3.592292e-03, 0.000000e+00, 1.967889e+01, 3.076524e-02
1.573488e-03, 3.392720e-03, 0.000000e+00, 1.963635e+01, 3.199376e-02
1.573488e-03, 3.193149e-03, 0.000000e+00, 1.958371e+01, 3.346706e-02
1.573488e-03, 2.993577e-03, 0.000000e+00, 1.951856e+01, 3.523393e-02
1.573488e-03, 2.794005e-03, 0.000000e+00, 1.943730e+01, 3.734852e-02
1.573488e-03, 2.594433e-03, 0.000000e+00, 1.933479e+01, 3.988753e-02
1.573488e-03, 2.394862e-03, 0.000000e+00, 1.920467e+01, 4.292681e-02
1.573488e-03, 2.195290e-03, 0.000000e+00, 1.903546e+01, 4.658644e-02
1.573488e-03, 1.995718e-03, 0.000000e+00, 1.880421e+01, 5.117900e-02
1.573488e-03, 1.796146e-03, 0.000000e+00, 1.850294e+01, 5.682186e-02
1.573488e-03, 1.596574e-03, 0.000000e+00, 1.814897e+01, 6.282576e-02
1.573488e-03, 1.397002e-03, 0.000000e+00, 1.746463e+01, 7.133935e-02
1.573488e-03, 1.197431e-03, 0.000000e+00, 1.614664e+01, 8.703888e-02
1.573488e-03, 9.978589e-04, 0.000000e+00, 1.540530e+01, 1.000000e-01
1.083986e-03, 1.337131e-02, 0.000000e+00, 1.996785e+01, 9.727628e-05
1.083986e-03, 1.357088e-02, 0.000000e+00, 1.996875e+01, 7.883792e-05
5.944842e-04, 1.337131e-02, 0.000000e+00, 1.996769e+01, 6.468718e-04
5.944842e-04, 1.357088e-02, 0.000000e+00, 1.996860e+01, 6.483483e-04
1.573488e-03, 1.337131e-02, 0.000000e+00, 1.996809e+01, 1.889994e-03
1.573488e-03, 1.357088e-02, 0.000000e+00, 1.996898e+01, 1.763273e-03
1.083986e-03, 1.317174e-02, 0.000000e+00, 1.996691e+01, 1.324936e-04
5.944842e-04, 1.317174e-02, 0.000000e+00, 1.996675e+01, 6.441933e-04
1.573488e-03, 1.317174e-02, 0.000000e+00, 1.996718e+01, 2.026206e-03
1.083986e-03, 1.297217e-02, 0.000000e+00, 1.996595e+01, 1.785975e-04
5.944842e-04, 1.297217e-02, 0.000000e+00, 1.996578e+01, 6.401774e-04
1.573488e-03, 1.297217e-02, 0.000000e+00, 1.996623e+01, 2.172699e-03
1.083986e-03, 1.277259e-02, 0.000000e+00, 1.996495e+01, 2.329118e-04
5.944842e-04, 1.277259e-02, 0.000000e+00, 1.996477e+01, 6.346766e-04
1.573488e-03, 1.277259e-02, 0.000000e+00, 1.996526e+01, 2.330370e-03
1.083986e-03, 1.257302e-02, 0.000000e+00, 1.996391e+01, 2.946278e-04
5.944842e-04, 1.257302e-02, 0.000000e+00, 1.996372e+01, 6.275306e-04
1.573488e-03, 1.257302e-02, 0.000000e+00, 1.996425e+01, 2.500225e-03
1.083986e-03, 1.237345e-02, 0.000000e+00, 1.996284e+01, 3.637544e-04
5.944842e-04, 1.237345e-02, 0.000000e+00, 1.996264e+01, 6.185675e-04
1.573488e-03, 1.237345e-02, 0.000000e+00, 1.996321e+01, 2.683381e-03
1.083986e-03, 1.217388e-02, 0.000000e+00, 1.996172e+01, 4.406895e-04
5.944842e-04, 1.217388e-02, 0.000000e+00, 1.996151e+01, 6.076063e-04
1.573488e-03, 1.217388e-02, 0.000000e+00, 1.996213e+01, 2.881047e-03
1.083986e-03, 1.197431e-02, 0.000000e+00, 1.996057e+01, 5.260383e-04
5.944842e-04, 1.197431e-02, 0.000000e+00, 1.996035e+01, 5.944580e-04
1.573488e-03, 1.197431e-02, 0.000000e+00, 1.996101e+01, 3.094544e-03
1.083986e-03, 1.177474e-02, 0.000000e+00, 1.995937e+01, 6.205199e-04
5.944842e-04, 1.177474e-02, 0.000000e+00, 1.995913e+01, 5.789211e-04
1.573488e-03, 1.177474e-02, 0.000000e+00, 1.995985e+01, 3.325355e-03
1.083986e-03, 1.157516e-02, 0.000000e+00, 1.995813e+01, 7.248993e-04
5.944842e-04, 1.157516e-02, 0.000000e+00, 1.995787e+01, 5.607736e-04
1.573488e-03, 1.157516e-02, 0.000000e+00, 1.995864e+01, 3.575058e-03
1.083986e-03, 1.137559e-02, 0.000000e+00, 1.995684e+01, 8.399943e-04
5.944842e-04, 1.137559e-02, 0.000000e+00, 1.995655e+01, 5.397530e-04
1.573488e-03, 1.137559e-02, 0.000000e+00, 1.995738e+01, 3.845278e-03
1.083986e-03, 1.117602e-02, 0.000000e+00, 1.995550e+01, 9.667688e-04
5.944842e-04, 1.117602e-02, 0.000000e+00, 1.995518e+01, 5.155287e-04
1.573488e-03, 1.117602e-02, 0.000000e+00, 1.995606e+01, 4.137749e-03
1.083986e-03, 1.097645e-02, 0.000000e+00, 1.995411e+01, 1.106393e-03
5.944842e-04, 1.097645e-02, 0.000000e+00, 1.995375e+01, 4.876861e-04
1.573488e-03, 1.097645e-02, 0.000000e+00, 1.995469e+01, 4.454358e-03
1.083986e-03, 1.077688e-02, 0.000000e+00, 1.995265e+01, 1.260250e-03
5.944842e-04, 1.077688e-02, 0.000000e+00, 1.995226e+01, 4.557319e-04
1.573488e-03, 1.077688e-02, 0.000000e+00, 1.995325e+01, 4.797161e-03
1.083986e-03, 1.057730e-02, 0.000000e+00, 1.995112e+01, 1.429945e-03
5.944842e-04, 1.057730e-02, 0.000000e+00, 1.995069e+01, 4.191355e-04
1.573488e-03, 1.057730e-02, 0.000000e+00, 1.995174e+01, 5.168383e-03
1.083986e-03, 1.037773e-02, 0.000000e+00, 1.994953e+01, 1.617328e-03
5.944842e-04, 1.037773e-02, 0.000000e+00, 1.994906e+01, 3.773524e-04
1.573488e-03, 1.037773e-02, 0.000000e+00, 1.995016e+01, 5.570367e-03
1.083986e-03, 1.017816e-02, 0.000000e+00, 1.994787e+01, 1.824589e-03
5.944842e-04, 1.017816e-02, 0.000000e+00, 1.994735e+01, 3.300129e-04
1.573488e-03, 1.017816e-02, 0.000000e+00, 1.994850e+01, 6.005318e-03
1.083986e-03, 9.978590e-03, 0.000000e+00, 1.994612e+01, 2.054284e-03
5.944842e-04, 9.978590e-03, 0.000000e+00, 1.994556e+01, 2.774844e-04
1.573488e-03, 9.978590e-03, 0.000000e+00, 1.994676e+01, 6.475482e-03
1.083986e-03, 9.779017e-03, 0.000000e+00, 1.994428e+01, 2.309208e-03
5.944842e-04, 9.779017e-03, 0.000000e+00, 1.994368e+01, 2.219533e-04
1.573488e-03, 9.779017e-03, 0.000000e+00, 1.994494e+01, 6.983136e-03
1.083986e-03, 9.579446e-03, 0.000000e+00, 1.994235e+01, 2.592308e-03
5.944842e-04, 9.579446e-03, 0.000000e+00, 1.994171e+01, 1.710128e-04
1.573488e-03, 9.579446e-03, 0.000000e+00, 1.994305e+01, 7.529404e-03
1.083986e-03, 9.379874e-03, 0.000000e+00, 1.994032e+01, 2.906818e-03
5.944842e-04, 9.379874e-03, 0.000000e+00, 1.993964e+01, 1.470748e-04
1.573488e-03, 9.379874e-03, 0.000000e+00, 1.994110e+01, 8.114439e-03
1.083986e-03, 9.180303e-03, 0.000000e+00, 1.993817e+01, 3.256375e-03
5.944842e-04, 9.180303e-03, 0.000000e+00, 1.993746e+01, 1.802466e-04
1.573488e-03, 9.180303e-03, 0.000000e+00, 1.993907e+01, 8.739018e-03
1.083986e-03, 8.980731e-03, 0.000000e+00, 1.993590e+01, 3.644957e-03
5.944842e-04, 8.980731e-03, 0.000000e+00, 1.993516e+01, 2.644061e-04
1.573488e-03, 8.980731e-03, 0.000000e+00, 1.993695e+01, 9.404124e-03
