
[Name]
Plane 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
1.08398590e-03, 1.33713093e-02, 0.00000000e+00, 2.00002384e+01, 4.25824874e-05
1.08398590e-03, 1.35708814e-02, 0.00000000e+00, 2.00002365e+01, 4.19746357e-05
5.94484212e-04, 1.33713093e-02, 0.00000000e+00, 2.00002384e+01, 2.45528190e-05
5.94484212e-04, 1.35708814e-02, 0.00000000e+00, 2.00002365e+01, 2.42053939e-05
1.57348765e-03, 1.33713093e-02, 0.00000000e+00, 2.00002384e+01, 5.86186252e-05
1.57348765e-03, 1.35708814e-02, 0.00000000e+00, 2.00002365e+01, 5.77743231e-05
1.08398590e-03, 1.31717380e-02, 0.00000000e+00, 2.00002384e+01, 4.32076340e-05
5.94484212e-04, 1.31717380e-02, 0.00000000e+00, 2.00002384e+01, 2.49099139e-05
1.57348765e-03, 1.31717380e-02, 0.00000000e+00, 2.00002384e+01, 5.94874764e-05
1.08398590e-03, 1.29721668e-02, 0.00000000e+00, 2.00002422e+01, 4.38508469e-05
5.94484212e-04, 1.29721668e-02, 0.00000000e+00, 2.00002422e+01, 2.52770787e-05
1.57348765e-03, 1.29721668e-02, 0.00000000e+00, 2.00002403e+01, 6.03819863e-05
1.08398590e-03, 1.27725946e-02, 0.00000000e+00, 2.00002422e+01, 4.45129081e-05
5.94484212e-04, 1.27725946e-02, 0.00000000e+00, 2.00002422e+01, 2.56547428e-05
1.57348765e-03, 1.27725946e-02, 0.00000000e+00, 2.00002441e+01, 6.13033408e-05
1.08398590e-03, 1.25730224e-02, 0.00000000e+00, 2.00002460e+01, 4.51946798e-05
5.94484212e-04, 1.25730224e-02, 0.00000000e+00, 2.00002460e+01, 2.60433553e-05
1.57348765e-03, 1.25730224e-02, 0.00000000e+00, 2.00002441e+01, 6.22527659e-05
1.08398590e-03, 1.23734511e-02, 0.00000000e+00, 2.00002460e+01, 4.58970790e-05
5.94484212e-04, 1.23734511e-02, 0.00000000e+00, 2.00002460e+01, 2.64434057e-05
1.57348765e-03, 1.23734511e-02, 0.00000000e+00, 2.00002460e+01, 6.32316442e-05
1.08398590e-03, 1.21738790e-02, 0.00000000e+00, 2.00002480e+01, 4.66211022e-05
5.94484212e-04, 1.21738790e-02, 0.00000000e+00, 2.00002460e+01, 2.68554249e-05
1.57348765e-03, 1.21738790e-02, 0.00000000e+00, 2.00002460e+01, 6.42414088e-05
1.08398590e-03, 1.19743077e-02, 0.00000000e+00, 2.00002499e+01, 4.73678301e-05
5.94484212e-04, 1.19743077e-02, 0.00000000e+00, 2.00002499e+01, 2.72799753e-05
1.57348765e-03, 1.19743077e-02, 0.00000000e+00, 2.00002499e+01, 6.52836534e-05
1.08398590e-03, 1.17747355e-02, 0.00000000e+00, 2.00002499e+01, 4.81384232e-05
5.94484212e-04, 1.17747355e-02, 0.00000000e+00, 2.00002518e+01, 2.77176878e-05
1.57348765e-03, 1.17747355e-02, 0.00000000e+00, 2.00002499e+01, 6.63600877e-05
1.08398590e-03, 1.15751633e-02, 0.00000000e+00, 2.00002537e+01, 4.89341764e-05
5.94484212e-04, 1.15751633e-02, 0.00000000e+00, 2.00002518e+01, 2.81692355e-05
1.57348765e-03, 1.15751633e-02, 0.00000000e+00, 2.00002518e+01, 6.74725670e-05
1.08398590e-03, 1.13755921e-02, 0.00000000e+00, 2.00002537e+01, 4.97564833e-05
5.94484212e-04, 1.13755921e-02, 0.00000000e+00, 2.00002537e+01, 2.86353697e-05
1.57348765e-03, 1.13755921e-02, 0.00000000e+00, 2.00002556e+01, 6.86231433e-05
1.08398590e-03, 1.11760199e-02, 0.00000000e+00, 2.00002556e+01, 5.06069082e-05
5.94484212e-04, 1.11760199e-02, 0.00000000e+00, 2.00002556e+01, 2.91169108e-05
1.57348765e-03, 1.11760199e-02, 0.00000000e+00, 2.00002556e+01, 6.98140357e-05
1.08398590e-03, 1.09764487e-02, 0.00000000e+00, 2.00002575e+01, 5.14871572e-05
5.94484212e-04, 1.09764487e-02, 0.00000000e+00, 2.00002575e+01, 2.96147718e-05
1.57348765e-03, 1.09764487e-02, 0.00000000e+00, 2.00002575e+01, 7.10476961e-05
1.08398590e-03, 1.07768765e-02, 0.00000000e+00, 2.00002594e+01, 5.23991439e-05
5.94484212e-04, 1.07768765e-02, 0.00000000e+00, 2.00002594e+01, 3.01299788e-05
1.57348765e-03, 1.07768765e-02, 0.00000000e+00, 2.00002613e+01, 7.23268167e-05
1.08398590e-03, 1.05773043e-02, 0.00000000e+00, 2.00002613e+01, 5.33450075e-05
5.94484212e-04, 1.05773043e-02, 0.00000000e+00, 2.00002613e+01, 3.06636794e-05
1.57348765e-03, 1.05773043e-02, 0.00000000e+00, 2.00002632e+01, 7.36544171e-05
1.08398590e-03, 1.03777330e-02, 0.00000000e+00, 2.00002651e+01, 5.43271162e-05
5.94484212e-04, 1.03777330e-02, 0.00000000e+00, 2.00002651e+01, 3.12171687e-05
1.57348765e-03, 1.03777330e-02, 0.00000000e+00, 2.00002651e+01, 7.50337567e-05
1.08398590e-03, 1.01781618e-02, 0.00000000e+00, 2.00002670e+01, 5.53481332e-05
5.94484212e-04, 1.01781618e-02, 0.00000000e+00, 2.00002670e+01, 3.17919184e-05
1.57348765e-03, 1.01781618e-02, 0.00000000e+00, 2.00002670e+01, 7.64686120e-05
1.08398590e-03, 9.97858960e-03, 0.00000000e+00, 2.00002689e+01, 5.64110669e-05
5.94484212e-04, 9.97858960e-03, 0.00000000e+00, 2.00002689e+01, 3.23896384e-05
1.57348765e-03, 9.97858960e-03, 0.00000000e+00, 2.00002689e+01, 7.79632974e-05
1.08398590e-03, 9.77901742e-03, 0.00000000e+00, 2.00002689e+01, 5.75193335e-05
5.94484212e-04, 9.77901742e-03, 0.00000000e+00, 2.00002689e+01, 3.30122311e-05
1.57348765e-03, 9.77901742e-03, 0.00000000e+00, 2.00002689e+01, 7.95226297e-05
1.08398590e-03, 9.57944617e-03, 0.00000000e+00, 2.00002708e+01, 5.86768474e-05
5.94484212e-04, 9.57944617e-03, 0.00000000e+00, 2.00002728e+01, 3.36618796e-05
1.57348765e-03, 9.57944617e-03, 0.00000000e+00, 2.00002728e+01, 8.11517384e-05
1.08398590e-03, 9.37987398e-03, 0.00000000e+00, 2.00002728e+01, 5.98881707e-05
5.94484212e-04, 9.37987398e-03, 0.00000000e+00, 2.00002708e+01, 3.43410939e-05
1.57348765e-03, 9.37987398e-03, 0.00000000e+00, 2.00002747e+01, 8.28564152e-05
1.08398590e-03, 9.18030273e-03, 0.00000000e+00, 2.00002785e+01, 6.11584328e-05
5.94484212e-04, 9.18030273e-03, 0.00000000e+00, 2.00002785e+01, 3.50527916e-05
1.57348765e-03, 9.18030273e-03, 0.00000000e+00, 2.00002785e+01, 8.46434996e-05
1.08398590e-03, 8.98073055e-03, 0.00000000e+00, 2.00002804e+01, 6.24934401e-05
5.94484212e-04, 8.98073055e-03, 0.00000000e+00, 2.00002804e+01, 3.58004108e-05
