Volume injected (mL), NC (-)
0.095438,0.065711
0.095587,0.065863
0.095736,0.066101
0.095884,0.065839
0.096033,0.066007
0.096182,0.065917
0.096331,0.066158
0.09648,0.065752
0.096629,0.06609
0.096778,0.065929
0.096927,0.066149
0.097076,0.065972
0.097224,0.066277
0.097373,0.066152
0.097522,0.066519
0.097671,0.065753
0.09782,0.066284
0.097969,0.06612
0.098118,0.066501
0.098267,0.06641
0.098416,0.066493
0.098564,0.066214
0.098713,0.066295
0.098862,0.066448
0.099011,0.066549
0.09916,0.066376
0.099309,0.066469
0.099458,0.066213
0.099607,0.06641
0.099756,0.066614
0.099904,0.066471
0.10005,0.066233
0.1002,0.066868
0.10035,0.066709
0.1005,0.067149
0.10065,0.066816
0.1008,0.066807
0.10095,0.067038
0.1011,0.067059
0.10124,0.06685
0.10139,0.06723
0.10154,0.067175
0.10169,0.06692
0.10184,0.066703
0.10199,0.067175
0.10214,0.0672
0.10229,0.067563
0.10244,0.066917
0.10258,0.067104
0.10273,0.067208
0.10288,0.067366
0.10303,0.067027
0.10318,0.067425
0.10333,0.067263
0.10348,0.067557
0.10363,0.06758
0.10378,0.067566
0.10392,0.067611
0.10407,0.067586
0.10422,0.067299
0.10437,0.067363
0.10452,0.067482
0.10467,0.067462
0.10482,0.067489
0.10497,0.067616
0.10512,0.067531
0.10526,0.067397
0.10541,0.067675
0.10556,0.067539
0.10571,0.067878
0.10586,0.067768
0.10601,0.06763
0.10616,0.067532
0.10631,0.067939
0.10646,0.068154
0.1066,0.06773
0.10675,0.067885
0.1069,0.068054
0.10705,0.068022
0.1072,0.067694
0.10735,0.067931
0.1075,0.067865
0.10765,0.068293
0.1078,0.067817
0.10794,0.068063
0.10809,0.068238
0.10824,0.068304
0.10839,0.068094
0.10854,0.0683
0.10869,0.068302
0.10884,0.068404
0.10899,0.068188
0.10914,0.068171
0.10928,0.068238
0.10943,0.068529
0.10958,0.067975
0.10973,0.068189
0.10988,0.068356
0.11003,0.068322
0.11018,0.068275
0.11033,0.068652
0.11048,0.068324
0.11062,0.068366
0.11077,0.067958
0.11092,0.068474
0.11107,0.06875
0.11122,0.068346
0.11137,0.068344
0.11152,0.06837
0.11167,0.068456
0.11182,0.068664
0.11196,0.068318
0.11211,0.068473
0.11226,0.068799
0.11241,0.068711
0.11256,0.068234
0.11271,0.068764
0.11286,0.068564
0.11301,0.068836
0.11316,0.068498
0.1133,0.068798
0.11345,0.069035
0.1136,0.069369
0.11375,0.068632
0.1139,0.069013
0.11405,0.06918
0.1142,0.069332
0.11435,0.068793
0.1145,0.068901
0.11464,0.069116
0.11479,0.069037
0.11494,0.06892
0.11509,0.06932
0.11524,0.069041
0.11539,0.069319
0.11554,0.069121
0.11569,0.069055
0.11584,0.069314
0.11598,0.069256
0.11613,0.068911
0.11628,0.069204
0.11643,0.069458
0.11658,0.069363
0.11673,0.068987
0.11688,0.068952
0.11703,0.069171
0.11718,0.069458
0.11732,0.069226
0.11747,0.069488
0.11762,0.069486
0.11777,0.069291
0.11792,0.069347
0.11807,0.069642
0.11822,0.069333
0.11837,0.069789
0.11852,0.069338
0.11866,0.069567
0.11881,0.069566
0.11896,0.069725
0.11911,0.069335
0.11926,0.069679
0.11941,0.069517
0.11956,0.069702
0.11971,0.069441
0.11986,0.069501
0.12,0.069929
0.12015,0.069606
0.1203,0.069844
0.12045,0.06976
0.1206,0.070038
0.12075,0.070258
0.1209,0.069944
0.12105,0.069967
0.1212,0.069969
0.12134,0.070116
0.12149,0.070094
0.12164,0.070068
0.12179,0.070444
0.12194,0.070373
0.12209,0.07012
0.12224,0.070394
0.12239,0.070308
0.12254,0.070519
0.12268,0.069961
0.12283,0.070353
0.12298,0.070395
0.12313,0.070195
0.12328,0.069889
0.12343,0.0704
0.12358,0.070372
0.12373,0.070134
0.12388,0.070023
0.12402,0.070207
0.12417,0.070266
0.12432,0.070286
0.12447,0.070286
0.12462,0.070244
0.12477,0.070429
0.12492,0.070246
0.12507,0.070021
0.12522,0.070356
0.12536,0.070518
0.12551,0.070374
0.12566,0.070207
0.12581,0.070305
0.12596,0.070353
0.12611,0.070656
0.12626,0.070469
0.12641,0.070644
0.12656,0.070813
0.1267,0.070692
0.12685,0.0704
0.127,0.070746
0.12715,0.070656
0.1273,0.070861
0.12745,0.070508
0.1276,0.070679
0.12775,0.070684
0.1279,0.070843
0.12804,0.070305
0.12819,0.070722
0.12834,0.070774
0.12849,0.071123
0.12864,0.070544
0.12879,0.070923
0.12894,0.070883
0.12909,0.071166
0.12924,0.070605
0.12938,0.070665
0.12953,0.071158
0.12968,0.071043
0.12983,0.071064
0.12998,0.071175
0.13013,0.071363
0.13028,0.071034
0.13043,0.070775
0.13058,0.070888
0.13072,0.071253
0.13087,0.071182
0.13102,0.0711
0.13117,0.071295
0.13132,0.071487
0.13147,0.071378
0.13162,0.070757
0.13177,0.071363
0.13192,0.071137
0.13206,0.071381
0.13221,0.070934
0.13236,0.071132
0.13251,0.071289
0.13266,0.071218
0.13281,0.071085
0.13296,0.07119
0.13311,0.070946
0.13326,0.071597
0.1334,0.071256
0.13355,0.071283
0.1337,0.071471
0.13385,0.071853
0.134,0.071172
0.13415,0.071607
0.1343,0.071587
